"","HH","TH","Truth"
"122",0.303846153846154,0.341954419347181,0.145
"123",0.214285714285714,0.229290927346803,0.1325
"124",0,0,0.14
"125",0.252631578947368,0.308630501485319,0.1875
"126",0,0,0.165
"127",0.505844155844156,0.572697656332772,0.17
"128",0.166666666666667,0.194896556684836,0.1825
"129",0.222222222222222,0.243159233768241,0.145
"130",0,0,0.1375
"131",0,0,0.155
"132",0,0,0.1575
"133",0,0,0.1175
"134",0,0,0.13
"135",0.158333333333333,0.179124249667043,0.1475
"136",0.183333333333333,0.20740702593026,0.1675
"137",0,0,0.155
"138",0.668181818181818,0.843262179344894,0.1575
"139",0.17,0.18810051432061,0.145
"140",0,0,0.1525
"141",0,0,0.1525
"142",0,0,0.1725
"143",0.27,0.298747875685675,0.1525
"144",0,0,0.1425
"145",0,0,0.17
"146",0,0,0.155
"147",0.218181818181818,0.244110186877781,0.175
"148",0,0,0.145
"149",0.15,0.151711026615969,0.145
"150",0,0,0.1525
"151",0,0,0.155
"152",0.425,0.502471665519295,0.155
"153",0,0,0.1325
"154",0,0,0.1775
"155",0.309090909090909,0.390080463914645,0.1225
"156",0.391666666666667,0.50504762010185,0.1575
"157",0,0,0.1625
"158",0.1875,0.221678675964395,0.1975
"159",0.136363636363636,0.152568866798613,0.1575
"160",0.1875,0.202887541596262,0.145
"161",0,0,0.1625
"162",0.2,0.206907223199116,0.1225
"163",0.181818181818182,0.203425155731484,0.1575
"164",0.194117647058824,0.278246720143071,0.175
"165",0,0,0.17
"166",0.533333333333333,0.583582161043778,0.1525
"167",0,0,0.19
"168",0,0,0.1425
"169",0.458333333333333,0.498991567619457,0.1575
"170",0,0,0.1625
"171",0.17,0.209951156416857,0.1375
"172",0.2,0.206907223199116,0.115
"173",0,0,0.155
"174",0.2,0.22877839048946,0.1725
"175",0.17,0.18810051432061,0.1375
"176",0,0,0.1625
"177",0.16,0.187100694417443,0.145
"178",0,0,0.15
"179",0.344,0.448361916303891,0.15
"180",0.18,0.188326668249452,0.14
"181",0,0,0.12
"182",0,0,0.1325
"183",0,0,0.185
"184",0,0,0.13
"185",0,0,0.155
"186",0,0,0.1875
"187",0,0,0.165
"188",0.166666666666667,0.188551841754782,0.1375
"189",0.166666666666667,0.182369425326181,0.125
"190",0.1,0.101140684410646,0.19
"191",0.511111111111111,0.559266237666954,0.1725
"192",0.336842105263158,0.411507335313758,0.14
"193",0,0,0.165
"194",0.186363636363636,0.235195573830889,0.165
"195",0,0,0.15
"196",0,0,0.1375
"197",0.15,0.16231003327701,0.1475
"198",0,0,0.1475
"199",0.166666666666667,0.188551841754782,0.17
"200",0,0,0.1275
"201",0,0,0.1225
"202",0,0,0.195
"203",0.368131868131868,0.405274304646388,0.165
"204",0,0,0.1725
"205",0.1625,0.175835869383427,0.1175
"206",0,0,0.13
"207",0.392307692307692,0.485080982048037,0.1475
"208",0,0,0.17
"209",0.216666666666667,0.229252521551184,0.1375
"210",0,0,0.1275
"211",0.176923076923077,0.202380883894522,0.1825
"212",0,0,0.1625
"213",0,0,0.13
"214",0,0,0.145
"215",0.218181818181818,0.244110186877781,0.1625
"216",0,0,0.1575
"217",0.2,0.226262210105739,0.185
"218",0,0,0.1475
"219",0.4,0.461794019376072,0.1525
"220",0.246666666666667,0.288446903893558,0.1575
"221",0.553333333333333,0.636948371476486,0.1975
"222",0.2,0.214004865523683,0.1425
"223",0,0,0.145
"224",0,0,0.175
"225",0,0,0.145
"226",0.175,0.197979433842521,0.16
"227",0,0,0.1775
"228",0.171428571428571,0.198271080975456,0.1375
"229",0,0,0.145
"230",0.2,0.24700136049042,0.1575
"231",0,0,0.1575
"232",0,0,0.18
"233",0,0,0.1125
"234",0,0,0.17
"235",0.233333333333333,0.255317195456653,0.1525
"236",0.25,0.270516722128349,0.1325
"237",0.154545454545455,0.172911382371762,0.16
"238",0.296153846153846,0.325897492585425,0.14
"239",0,0,0.135
"240",0,0,0.1275
"241",0,0,0.155
"242",0.175,0.197979433842521,0.135
"243",0.415151515151515,0.45031248663276,0.1425
"244",0,0,0.19
"245",0.1,0.099999999999999,0.155
"246",0.163157894736842,0.199323865542602,0.1275
"247",0.330434782608696,0.421535355619937,0.145
"248",0.158333333333333,0.179124249667043,0.175
"249",0,0,0.145
"250",0.175,0.189361705489845,0.1325
"251",0.3,0.299999999999997,0.1425
"252",0.390909090909091,0.457928893860603,0.15
"253",0.218181818181818,0.244110186877781,0.175
"254",0,0,0.1725
"255",0,0,0.145
"256",0.376515151515151,0.423234436544824,0.1525
"257",0.1,0.099999999999999,0.12
"258",0.2,0.249692193730159,0.1625
"259",0.391304347826087,0.499186605339399,0.1725
"260",0.1,0.099999999999999,0.1325
"261",0,0,0.18
"262",0,0,0.2125
"263",0.166666666666667,0.176348093500911,0.13
"264",0,0,0.15
"265",0.191666666666667,0.216834618018,0.1675
"266",0.15,0.169696657579304,0.16
"267",0,0,0.145
"268",0,0,0.135
"269",0.301818181818182,0.336201989369562,0.1425
"270",0,0,0.16
"271",0.1,0.099999999999999,0.13
"272",0,0,0.1475
"273",0.2,0.255139820506804,0.1825
"274",0.357575757575758,0.428510294412463,0.155
"275",0.2625,0.284042558234767,0.15
"276",0.318095238095238,0.385530850222793,0.15
"277",0.211111111111111,0.231001272079829,0.1675
"278",0.4875,0.514436645707881,0.155
"279",0.1,0.099999999999999,0.1725
"280",0,0,0.1325
"281",0.208333333333333,0.235689802193478,0.115
"282",0,0,0.13
"283",0.215384615384615,0.246376728219418,0.15
"284",0,0,0.1225
"285",0,0,0.1475
"286",0.154545454545455,0.172911382371762,0.1425
"287",0.166666666666667,0.194896556684836,0.1325
"288",0.1,0.099999999999999,0.1625
